qrCode,batteryId,vendorId,action,status,message
DC-DG210623A04748-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,OnShUeDsFgXSmtmYc4jx,001506130000087A,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210311A00374-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Xp73YsYzeb5BpvNDoqYm,0015010F00000154,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210126A00468-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,4DNJWS4g703Myael582j,00140C0300000EA9,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210423A00532-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,yU5soqLGxfxHmDJ0PtGo,0015040900000CA6,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00994-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,5pEmES49e1BtyyCT6qiq,0015041E0000082A,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210201A00365-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,bZGKNPEfF0q0i53yg6hI,0015010F000001B4,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00990-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,zltbD0O8yWNnpGH9T3wx,001503010000133B,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210601A00013-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,TsxaBCsYO1tVp6h51ggf,0015050B00000B69,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210423A00453-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,e3FpmsgxzU0hXL7mha8N,0015030100000C2E,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210406A00088-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,a2l5Xp6uJ4DrNzMIit4s,00150301000005A7,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP200729A00433-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,,,Tags hinzufügen,Failure,Dies ist kein gültiger Dott QR-Code
